source,target,value
Covid Visualizations,Mapping the Landscape of COVID-19 Crisis Visualizations,1
Covid Visualizations,Visualization Design Practices in a Crisis: Behind the Scenes with COVID-19 Dashboard Creators,1
Covid Visualizations,Political affiliation moderates subjective interpretations of COVID-19 graphs" Big Data & Society,1
Covid Visualizations,Multiple Forecast Visualizations (MFVs): Trade-offs in Trust and Performance in Multiple COVID-19 Forecast Visualizations,0
Post-WIMP Visualization,Designing Multiple Coordinated Visualizations for Tablets,1
Post-WIMP Visualization,When David Meets Goliath: Combining Smartwatches With a Large Vertical Display for Visual Data Exploration,1
Post-WIMP Visualization,Interweaving Multimodal Interaction with Flexible Unit Visualizations for Data Exploration,1
Post-WIMP Visualization,MARVIS: Combining Mobile Devices and Augmented Reality for Visual Data Analysis,1
Cognitive Bias,A Task-based Taxonomy of Cognitive Biases for Information Visualization,1
Cognitive Bias,The Attraction Effect in Information Visualization,1
Cognitive Bias,Mitigating the Attraction Effect with Visualizations,1
Cognitive Bias,Warning Bias May Occur: A Proposed Approach to Detecting Cognitive Bias in Interactive Visual Analytics,1
Natural Language & Visualization,DataTone: Managing Ambiguity in Natural Language Interfaces for Data Visualization,1
Natural Language & Visualization,Eviza: A natural language interface for visual analysis,1
Natural Language & Visualization,NL4DV: A Toolkit for Generating Analytic Specifications for Data Visualization from Natural Language Queries,1
Natural Language & Visualization,Collecting and Characterizing Natural Language Utterances for Specifying Data Visualizations,1
Natural Language & Visualization,Synthesizing Natural Language to Visualization (NL2VIS) Benchmarks from NL2SQL Benchmarks,1
Trust in Visualization,Trust in Information Visualization,1
Trust in Visualization,How Do We Measure Trust in Visual Data Communication?,1
Trust in Visualization,Data is Personal: Attitudes and Perceptions of Data Visualization in Rural Pennsylvania,1
Trust in Visualization,Viral Visualizations: How Coronavirus Skeptics Use Orthodox Data Practices to Promote Unorthodox Science Online,1
Storytelling Tools and Techniques,Leveraging Text-Chart Links to Support Authoring of Data-Driven Articles with VizFlow,1
Storytelling Tools and Techniques,ChartStory: Automated Partitioning Layout and Captioning of Charts into Comic-Style Narratives,1
Storytelling Tools and Techniques,Breaking the Fourth Wall of Data Stories through Interaction,1
Storytelling Tools and Techniques,Roslingifier: Semi-Automated Storytelling for Animated Scatterplots,1
Visual Perception and Misinterpretation,ISOTYPE Visualization: Working Memory Performance and Engagement with Pictographs,1
Visual Perception and Misinterpretation,Mapping Color to Meaning in Colormap Data Visualizations,1
Visual Perception and Misinterpretation,Dispersion vs Disparity: Hiding Variability Can Encourage Stereotyping When Visualizing Social Outcomes,1
Visual Perception and Misinterpretation,Seeing What You Believe or Believing What You See? Belief Biases Correlation Estimation,1
Creating Visualizations without Programming,Data Illustrator: Augmenting vector design tools with lazy data binding for expressive visualization authoring,1
Creating Visualizations without Programming,Charticulator: Interactive construction of bespoke chart layouts,1
Creating Visualizations without Programming,Falx: Synthesis-Powered Visualization Authoring,1
Creating Visualizations without Programming,A Mixed-Initiative Approach to Reusing Infographic Charts,1
Creating Visualizations without Programming,Critical Reflections on Visualization Authoring Systems,1
Visualization Deception and Misinformation,How Deceptive are Deceptive Visualizations?,1
Visualization Deception and Misinformation,Trust and Recall of Information across Varying Degrees of Title-Visualization Misalignment,1
Visualization Deception and Misinformation,Annotating Line Charts for Addressing Deception,1
Visualization Deception and Misinformation,Vulnerable to misinformation? Verifi!,1
Automating Insights and Infographics,Proactive visual data exploration with computation of insight-based recommendations,1
Automating Insights and Infographics,Augmenting Visualizations with Interactive Data Facts to Facilitate Interpretation and Communication,1
Automating Insights and Infographics,DataShot: Automatic generation of fact sheets from tabular data,1
Automating Insights and Infographics,Retrieve-Then-Adapt: Example-based automatic generation for proportion-related infographics,1
Automating Insights and Infographics,Calliope: Automatic visual data story generation from a spreadsheet,1
Visualization & Accessibility,How accessible is my visualization? Evaluating visualization accessibility with Chartability,1
Visualization & Accessibility,Visualizing for the Non-Visual: Enabling the Visually Impaired to Use Visualization,1
Visualization & Accessibility,Towards Understanding Sensory Substitution for Accessible Visualization: An Interview Study,1
Visualization & Accessibility,Rich Screen Reader Experiences for Accessible Data Visualization,1
Immersive Visualization,Immersive analytics: Time to reconsider the value of 3d for information visualisation,1
Immersive Visualization,Tilt map: Interactive transitions between Choropleth map Prism map and Bar chart in immersive environments,1
Immersive Visualization,ARShopping: In-Store Shopping Decision Support Through Augmented Reality and Immersive Visualization,1
Immersive Visualization,There is no spoon: Evaluating performance space use and presence with expert domain users in immersive analytics,1
Visualization for Helping to Understand ML,The state of the art in integrating machine learning into visual analytics,1
Visualization for Helping to Understand ML,Squares: Supporting interactive performance analysis for multiclass classifiers,1
Visualization for Helping to Understand ML,Gamut: A design probe to understand how data scientists understand machine learning models,1
Immersive Visualization,Visualization for Helping to Understand ML,0
Visualization Deception and Misinformation,Cognitive Bias,0
Post-WIMP Visualization,Immersive Visualization,0
Natural Language & Visualization,Creating Visualizations without Programming,0
Trust in Visualization,Visualization Deception and Misinformation,0
Storytelling Tools and Techniques,Covid Visualizations,0
Automating Insights and Infographics,Visualization for Helping to Understand ML,0
Visualization & Accessibility,Cognitive Bias,0
Post-WIMP Visualization,Visualization Deception and Misinformation,0
Immersive Visualization,Creating Visualizations without Programming,0
Trust in Visualization,Visualization & Accessibility,0
Storytelling Tools and Techniques,Automating Insights and Infographics,0
